name,description,allowedHooks,Category,AlimConstraint,NodeCross,imgName
Poussoir télérupteur,"Poussoir pour commander, via un télérupteur, un ou des spot(s) encastré(s) ou plafonnier(s)",telrupt,MURALES,NONE,NONE,poussoir
Prise 2P+T,Prise murale 2 pôles + terre,prise prise,MURALES,NONE,NONE,
Prise RJ45,Prise RJ45 pour brancher les câbles Ethernet,rj45,MURALES,NONE,NONE,rj45
Va-et-vient,Va-et-vient utilisable par paire pour commander un ou des spot(s) encastré(s) ou plafonnier(s),eclcommand vaetvien,MURALES,NONE,NONE,vv
Boîtier DCL,Boîtier encastré à la norm DCL pour plafonnier commandé via va-et-vient ou télérupteur,eclcommun eclcommand,PLAFOND,NONE,NONE,spot
Spot encastré,Spot encastré commandé via va-et-vient ou télérupteur,eclcommun eclcommand,PLAFOND,NONE,NONE,spot
Module 10A,Module 10A de tableau électrique pour circuits d’éclairage,eclcommand eclcommun,TABLEAU,NONE,NONE,
Module 16A,Module 16A de tableau électrique pour circuits de prises,prise,TABLEAU,NONE,NONE,
Module RJ45,Module RJ45 pour tableau électrique,rj45,TABLEAU,NONE,NONE,
Module télérupteur,Module Télérupteur de tableau électrique pour commander un ou des spot(s) encastré(s) ou plafonnier(s),eclcommand telrupt,TABLEAU,NONE,NONE,telerupt
Sortie évacuations,Sortie générale des évacuations PVC 100mm,pvc100,JONCTIONS_PVC_100,ANY,NONE,sortie100
Entrée alimentation eau,Alimentation en eau depuis le réseau public PER 20mm,per20 ,JONCTIONS_PER_20,COLD,NONE,
